År,Månad,Län,Aktiebolag,Bankaktiebolag,Bankfilial,Bostadsförening,Bostadsrättsförening,Ekonomisk förening,Enskild näringsidkare,Europabolag,Europakooperativ,Europeiska grupperingar för territoriellt samarbete,Filial,Försäkringsaktiebolag,Försäkringsförening,Handelsbolag,Ideella föreningar som bedriver näringsverksamhet,Kommanditbolag,Kooperativ hyresrättsförening,Medlemsbank,Sambruksförening,Sparbank,Stiftelse som bedriver näringsverksamhet,Tjänstepensionsaktiebolag,Tjänstepensionsförening,Trossamfund som bedriver näringsverksamhet,Ömsesidigt försäkringsbolag,Ömsesidigt tjänstepensionsbolag
2020,1,20,37,0,0,0,0,4,93,0,0,0,0,0,0,10,1,3,0,0,0,0,0,0,0,0,0,0
2020,2,20,35,0,0,0,0,4,61,0,0,0,1,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0
2020,3,20,39,0,0,0,0,1,34,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,20,53,0,0,0,0,0,50,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0
2020,5,20,58,0,0,0,1,5,49,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0
2020,6,20,37,0,0,0,0,1,39,0,0,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0
2020,7,20,38,0,0,0,1,4,12,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2020,8,20,31,0,0,0,0,3,11,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
2020,9,20,19,0,0,0,0,4,9,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0
2020,10,20,35,0,0,0,1,3,25,0,0,0,2,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0
2020,11,20,34,0,0,0,0,2,29,0,0,0,0,0,0,10,1,3,0,0,0,0,0,0,0,0,0,0
2020,12,20,44,0,0,0,1,6,43,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0
2021,1,20,39,0,0,0,0,1,257,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0
2021,2,20,35,0,0,0,0,4,57,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0
2021,3,20,28,0,0,0,0,2,31,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
2021,4,20,39,0,0,0,0,4,50,0,0,0,1,0,0,8,1,1,0,0,0,0,1,0,0,0,0,0
2021,5,20,24,0,0,0,1,5,53,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0
2021,6,20,34,0,0,0,3,2,49,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0
2021,7,20,42,0,0,0,0,1,25,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
2021,8,20,30,0,0,0,1,0,27,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0
2021,9,20,40,0,0,0,0,0,28,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
2021,10,20,42,0,0,0,1,3,20,0,0,0,1,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0
2021,11,20,37,0,0,0,0,3,37,0,0,0,3,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0
2021,12,20,35,0,0,0,1,2,64,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0
2022,1,20,36,0,0,0,0,1,140,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0
2022,2,20,34,0,0,0,1,2,57,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0
2022,3,20,35,0,0,0,1,2,26,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
2022,4,20,35,0,0,0,2,5,35,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
2022,5,20,35,0,0,0,0,2,34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2022,6,20,19,0,0,0,1,2,32,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0
2022,7,20,19,0,0,0,1,2,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2022,8,20,34,0,0,0,1,0,31,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2022,9,20,39,0,0,0,0,2,16,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0
2022,10,20,26,0,0,0,0,4,37,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0
2022,11,20,42,0,0,0,0,2,39,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0
2022,12,20,38,0,0,0,1,3,51,0,0,0,1,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0
2023,1,20,50,0,0,0,0,0,132,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,0,0,0
2023,2,20,39,0,0,0,0,2,46,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2023,3,20,33,0,0,0,0,1,37,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0
2023,4,20,39,0,0,0,2,2,27,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0
2023,5,20,38,0,0,0,0,3,44,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
2023,6,20,35,0,0,0,1,3,31,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
